코레일,1호선,회룡,경기도 의정부시 호원동 50-5,경기도 의정부시 평화로 363,부시 호
코레일,1호선,망월사,경기도 의정부시 호원동 50-5,경기도 의정부시 평화로 221,부시 호
코레일,1호선,도봉산,서울특별시 도봉구 도봉동 18-1,서울특별시 도봉구 도봉로 964-33,도봉구
코레일,1호선,도봉,서울특별시 도봉구 도봉동 639,서울특별시 도봉구 도봉로 170길 2,도봉구
코레일,1호선,방학,서울특별시 도봉구 방학동 728,서울특별시 도봉구 도봉로 150다길 3,도봉구
코레일,1호선,창동,서울특별시 도봉구 창동 135-1,서울특별시 도봉구 마들로11길 77,도봉구
코레일,1호선,녹천,서울특별시 도봉구 창동 57-11,서울특별시 도붕구 덕릉로 376,도봉구
코레일,1호선,월계,서울특별시 노원구 월계동 263-1,서울특별시 노원구 월계로53길 40,노원구
코레일,1호선,광운대,서울특별시 노원구 월계동 85,서울특별시 노원구 석계로 98-2,노원구
코레일,1호선,석계,서울특별시 노원구 월계동 36-4,서울특별시 노원구 화랑로 341,노원구
코레일,1호선,신이문,서울특별시 동대문구 이문동 7,서울특별시 동대문구 한천로 472,동대문구
코레일,1호선,외대앞,서울특별시 동대문구 이문동 360-5,서울특별시 동대문구 휘경로 27,동대문구
코레일,1호선,회기,서울특별시 동대문구 휘경동 317-101,서울특별시 동대문구 회기로 196,동대문구
코레일,1호선,남영,서울특별시 용산구 갈월동 96-1,서울특별시 용산구 한강대로77길 25,용산구
코레일,1호선,용산,서울특별시 용산구 한강로3가 40-999,서울특별시 용산구 한강대로23길 55,용산구
코레일,1호선,노량진,서울특별시 동작구 노량진동 67-2,서울특별시 동작구 노량진로 151,동작구
코레일,1호선,대방,서울특별시 영등포구 신길동 1368-3,서울특별시 영등포구 여의대방로 300,영등포구
코레일,1호선,신길,서울특별시 영등포구 신길동 41-1,서울특별시 영등포구 영등포로 327,영등포구
코레일,1호선,영등포,서울특별시 영등포구 영등포동 618-496,서울특별시 영등포구 경인로 846,영등포구
코레일,1호선,신도림,서울특별시 구로구 신도림동 460-26,서울특별시 구로구 새마로 지하117-21,구로구
코레일,1호선,구로,서울특별시 구로구 구로동 585-3,서울특별시 구로구 구로중앙로 174,구로구
코레일,1호선,구일,서울특별시 구로구 구로동 636-45,서울특별시 구로구 구일로 133,구로구
코레일,1호선,개봉,서울특별시 구로구 개보동 415,서울특별시 구로구 경인로40길 47,구로구
코레일,1호선,오류동,서울특별시 구로구 오류동 66,서울특별시 구로구 경인로 20길 13,구로구
코레일,1호선,온수,서울특셜시 구로구 온수동 51-7,서울특별시 구로구 부일로 872,구로구
코레일,1호선,역곡,경기도 부천시 원미곡 역곡동 382,경기도 부천시 원미구 역곡로 1,시 원미
코레일,1호선,소사,경기도 부천시 소사구 소사본동 395,경기도 부천시 소사구 소사로 272,시 소사
코레일,1호선,부천,경기도 부천시 소사구 심곡본동 316-2,경기도 부천시 소사구 부천로 1,시 소사
코레일,1호선,중동,경기도 부천시 소사구 송내동 632,경기도 부천시 소사구 중동로 73,시 소사
코레일,1호선,송내,경기도 부천시 소사구 송내동 632-4,경기도 부천시 소사구 송내대로 43,시 소사
코레일,1호선,부개,인천광역시 부평구 부개동 468,인천광역시 부평구 수변로 22,부평구
코레일,1호선,부평,인천광역시 부평구 부평동 738-21,인천광역시 부평구 광장로 16,부평구
코레일,1호선,백운,인천광역시 부평구 십정동 541-1,인천광역시 부평구 마장로 55번길 14,부평구
코레일,1호선,동암,인천광역시 부평구 십정동 541-1,인천광역시 부평구 동암광장로 10,부평구
코레일,1호선,간석,인천광역시 남동구 간석동 757,인천광역시 남동구 석정로 522-14,남동구
코레일,1호선,주안,인천광역시 남구 주안동 125,인천광역시 남구 주안로 95-19,남구 주
코레일,1호선,도화,인천광역시 남구 도화동 668,인천광역시 남구 숙골로 24번길 9 ,남구 도
코레일,1호선,제물포,인천광역시 남구 숭의동 450-39,인천광역시 남구 경인로 129,남구 숭
코레일,1호선,도원,인천광역시 동구 창영동 179-1,인천광역시 동구 참외전로 245,동구 창
코레일,1호선,동인천,인천광역시 중구 인현동 1-613,인천광역시 중구 참외전로 121,중구
코레일,1호선,인천,인천광역시 중구 북성동1가 3-1,인천광역시 중구 제물량로 269,중구
코레일,1호선,가산디지털단지,서울특별시 금천구 가산동 468-4,서울특별시 금천구 벚꽃로 309,금천구
코레일,1호선,독산,서울특별시 금천구 가산동 717,서울특별시 금천구 벚꽃로 115,금천구
코레일,1호선,금천구청,서울특별시 금천구 시흥동 113-55,서울특별시 금천구 시흥대로 63길 91,금천구
코레일,1호선,석수,경기도 안양시 만악구 석수동 737,경기도 안양시 만안구 경수대로 1431,시 만악
코레일,1호선,관악,경기도 안양시 만악구 석수동 101-16,경기도 안양시 만안구 경수대로 1273번길 46,시 만악
코레일,1호선,안양,경기도 안양시 만안구 안양동 88-1,경기도 안양시 만안구 만안로 232,시 만안
코레일,1호선,명학,경기도 안양시 만안구 안양동 1163-1,경기도 안양시 만안구 만안로 20,시 만안
코레일,1호선,금정,경기도 군포시 금정동 613,경기도 군포시 군포로 750,시 금정
코레일,1호선,군포,경기도 군포시 당동 134-1,경기도 군포시 군포역1길 27,시 당동
코레일,1호선,당정,경기도 군포시 당정동 938,경기도 구노시 당정역로 91,시 당정
코레일,1호선,의왕,경기도 의왕시 삼동 191,경기도 의왕시 철도박물관로 66,시 삼동
코레일,1호선,성균관대,경기도 수원시 장안구 율전동 495-2,경기도 수원시 장안구 서부로 2149,시 장안
코레일,1호선,화서,경기도 수원시 팔달구 화서동 464,경기도 수원시 팔달구 덕영대로 692,시 팔달
코레일,1호선,수원,경기도 수원시 팔달구 매산로1가 18,경기도 수원시 팔달구 덕영대로 924,시 팔달
코레일,1호선,세류,경기도 수원시 권선구 장지동 25-4,경기도 수원시 권선구 정조로 393-1,시 권선
코레일,1호선,병점,경기도 화성시 진암동 824-1,경기도 화성시 떡전골로 97,시 진암
코레일,1호선,서동탄,경기도 오산시 외삼미동 242,경기도 오산시 외삼미로 15번길 75-60,시 외삼
코레일,1호선,세마,경기도 오산시 세교동 244-5,경기도 오산시 세마역로 88,시 세교
코레일,1호선,오산대,경기도 오산시 수청동 435-1,경기도 오산시 청학로 236,시 수청
코레일,1호선,오산,경기도 오산시 오산동 603-116,경기도 오산시 역광장로 59,시 오산
코레일,1호선,진위,경기도 평택시 진위면 하북리 139-3,경기도 평택시 진위면 경기대로 1855 ,시 진위
코레일,1호선,송탄,경기도 평택시 신장동 257-5,경기도 평택시 송탄공원로 43,시 신장
코레일,1호선,서정리,경기도 평택시 서정동 427-53,경기도 평택시 탄현로 51,시 서정
코레일,1호선,지제,경기도 평택시 지제동 559-4,경기도 평택시 경기대로 777,시 지제
코레일,1호선,평택,경기도 평택시 평택동 185-579,경기도 평택시 평택로 51,시 평택
코레일,1호선,성환,충청남도 천안시 서북구 성환읍 성환리 449-128,충청남도 천안시 서북구 성환읍 성환1로 237-5 ,안시 서
코레일,1호선,직산,충청남도 천안시 서북구 직산읍 모시리 58-11,충청남도 천안시 서북구 직산읍 천안대로 1471-33 ,안시 서
